account_key,account,month,amount
6500,6500 Insurance,2025-04,1200.00
6500,6500 Insurance,2025-05,1200.00
6500,6500 Insurance,2025-06,1200.00
6600,6600 Marketing and Advertising,2025-01,1138.72
6600,6600 Marketing and Advertising,2025-02,5575.64
6600,6600 Marketing and Advertising,2025-03,5513.90
6600,6600 Marketing and Advertising,2025-05,5574.51
6600,6600 Marketing and Advertising,2025-06,2464.97
6600,6600 Marketing and Advertising,2025-07,5235.33
6600,6600 Marketing and Advertising,2025-09,2095.45
6700,6700 Office Supplies,2025-01,339.98
6700,6700 Office Supplies,2025-02,324.36
6700,6700 Office Supplies,2025-05,410.06
6700,6700 Office Supplies,2025-07,634.73
6800,6800 Professional Fees,2025-01,1978.92
6800,6800 Professional Fees,2025-02,3954.24
6800,6800 Professional Fees,2025-03,2556.97
6800,6800 Professional Fees,2025-04,8276.08
6800,6800 Professional Fees,2025-05,7024.99
6800,6800 Professional Fees,2025-06,15495.76
6800,6800 Professional Fees,2025-07,4581.42
6800,6800 Professional Fees,2025-08,3611.52
6800,6800 Professional Fees,2025-09,6533.52
6900,6900 Travel and Meals,2025-02,1678.01
6900,6900 Travel and Meals,2025-03,1033.08
6900,6900 Travel and Meals,2025-04,779.75
6900,6900 Travel and Meals,2025-05,1252.12
6900,6900 Travel and Meals,2025-06,1357.58
6900,6900 Travel and Meals,2025-07,99.56
6950,6950 Bank and Processor Fees,2025-01,733.98
6950,6950 Bank and Processor Fees,2025-02,786.38
6950,6950 Bank and Processor Fees,2025-03,863.25
6950,6950 Bank and Processor Fees,2025-04,869.71
6950,6950 Bank and Processor Fees,2025-05,909.61
6950,6950 Bank and Processor Fees,2025-06,978.96
6950,6950 Bank and Processor Fees,2025-07,1036.92
6950,6950 Bank and Processor Fees,2025-08,1046.44
6950,6950 Bank and Processor Fees,2025-09,357.44
7000,7000 Depreciation Expense,2025-02,800.00
7000,7000 Depreciation Expense,2025-03,800.00
7000,7000 Depreciation Expense,2025-04,800.00
7000,7000 Depreciation Expense,2025-05,800.00
7000,7000 Depreciation Expense,2025-06,800.00
7000,7000 Depreciation Expense,2025-07,800.00
7000,7000 Depreciation Expense,2025-08,800.00
7000,7000 Depreciation Expense,2025-09,800.00
7000,7000 Depreciation Expense,2025-10,800.00
7000,7000 Depreciation Expense,2025-11,800.00
7000,7000 Depreciation Expense,2025-12,800.00
7000,7000 Depreciation Expense,2026-01,800.00
7000,7000 Depreciation Expense,2026-02,800.00
7100,7100 Amortization Expense,2025-01,1000.00
7100,7100 Amortization Expense,2025-02,1000.00
7100,7100 Amortization Expense,2025-03,1000.00
7100,7100 Amortization Expense,2025-04,1000.00
7100,7100 Amortization Expense,2025-05,1000.00
7100,7100 Amortization Expense,2025-06,1000.00
7100,7100 Amortization Expense,2025-07,1000.00
